Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MZ (kNm),Length (m)
 70/ 65/ 6 (C),0,0,10.67,4.64,0,2.775
 70/ 65/ 7 (C),0,0,6.74,2.94,0,2.775
 70/ 66/ 6 (C),0,0,-71.06,4.64,0,2.775
 70/ 66/ 7 (C),0,0,-45.35,2.94,0,2.775
 71/ 59/ 6 (C),0,0,29.13,3.37,0,3.725
 71/ 59/ 7 (C),0,0,18.94,2.14,0,3.725
 71/ 66/ 6 (C),0,0,-44.67,3.37,0,3.725
 71/ 66/ 7 (C),0,0,-29.2,2.14,0,3.725
 72/ 32/ 6 (C),555.65,-16.37,17.96,-0.51,-26.53,2.8
 72/ 32/ 7 (C),369.09,-10.67,11.41,-0.33,-17.33,2.8
 72/ 66/ 6 (C),540.53,-16.37,17.96,-0.51,19.3,2.8
 72/ 66/ 7 (C),357.89,-10.67,11.41,-0.33,12.56,2.8
 73/ 64/ 6 (C),0,0,101.93,-16.36,0,1.35
 73/ 64/ 7 (C),0,0,64.95,-10.41,0,1.35
 73/ 65/ 6 (C),0,0,66.4,-16.36,0,1.35
 73/ 65/ 7 (C),0,0,42.17,-10.41,0,1.35
 74/ 58/ 6 (C),0,0,70.1,-4.34,0,3.725
 74/ 58/ 7 (C),0,0,44.28,-2.76,0,3.725
 74/ 65/ 6 (C),0,0,-55.73,-4.34,0,3.725
 74/ 65/ 7 (C),0,0,-35.43,-2.76,0,3.725
 75/ 63/ 6 (C),0,0,52.16,7.32,0,2.5
 75/ 63/ 7 (C),0,0,33.03,4.68,0,2.5
 75/ 64/ 6 (C),0,0,-47.87,7.32,0,2.5
 75/ 64/ 7 (C),0,0,-29.91,4.68,0,2.5
 76/ 30/ 6 (C),885.32,4.78,-17.56,-0.51,6.07,2.8
 76/ 30/ 7 (C),577.02,3.04,-11.32,-0.33,3.84,2.8
 76/ 64/ 6 (C),870.2,4.78,-17.56,-0.51,-7.32,2.8
 76/ 64/ 7 (C),565.82,3.04,-11.32,-0.33,-4.67,2.8
 77/ 62/ 6 (C),0,0,57.12,-5.69,0,2.35
 77/ 62/ 7 (C),0,0,35.98,-3.62,0,2.35
 77/ 63/ 6 (C),0,0,-34.02,-5.69,0,2.35
 77/ 63/ 7 (C),0,0,-21.44,-3.62,0,2.35
 78/ 57/ 6 (C),0,0,58.02,-4.17,0,3.725
 78/ 57/ 7 (C),0,0,36.52,-2.73,0,3.725
 78/ 63/ 6 (C),0,0,-71.19,-4.17,0,3.725
 78/ 63/ 7 (C),0,0,-45.24,-2.73,0,3.725
 79/ 29/ 6 (C),711.01,-15.15,-4.98,-0.51,-22.05,2.8
 79/ 29/ 7 (C),462.46,-9.64,-3.2,-0.33,-14.03,2.8
 79/ 63/ 6 (C),695.89,-15.15,-4.98,-0.51,20.36,2.8
 79/ 63/ 7 (C),451.26,-9.64,-3.2,-0.33,12.95,2.8
 80/ 61/ 6 (C),0,0,-94.41,30.75,0,1.35
 80/ 61/ 7 (C),0,0,-60.08,19.89,0,1.35
 80/ 62/ 6 (C),0,0,-128.8,30.75,0,1.35
 80/ 62/ 7 (C),0,0,-82.16,19.89,0,1.35
 81/ 28/ 6 (C),1059.01,4.64,23.98,-0.51,6.45,2.8
 81/ 28/ 7 (C),689.85,2.97,15.42,-0.33,4.13,2.8
 81/ 62/ 6 (C),1043.89,4.64,23.98,-0.51,-6.53,2.8
 81/ 62/ 7 (C),678.65,2.97,15.42,-0.33,-4.19,2.8
 82/ 60/ 6 (C),0,0,90.36,-8.1,0,3.675
 82/ 60/ 7 (C),0,0,57.61,-5.25,0,3.675
 82/ 61/ 6 (C),0,0,-25.47,-8.1,0,3.675
 82/ 61/ 7 (C),0,0,-15.98,-5.25,0,3.675
 83/ 56/ 6 (C),0,0,60.25,10.64,0,3.725
 83/ 56/ 7 (C),0,0,37.66,6.8,0,3.725
 83/ 61/ 6 (C),0,0,-68.94,10.64,0,3.725
 83/ 61/ 7 (C),0,0,-44.09,6.8,0,3.725
 84/ 55/ 6 (C),0,0,38.18,-0.46,0,3.725
 84/ 55/ 7 (C),0,0,24.78,-0.22,0,3.725
 84/ 60/ 6 (C),0,0,-38.99,-0.46,0,3.725
 84/ 60/ 7 (C),0,0,-25.41,-0.22,0,3.725
 85/ 26/ 6 (C),638.41,-5.92,-36.31,-0.51,-8.89,2.8
 85/ 26/ 7 (C),421.89,-3.8,-23.22,-0.33,-5.71,2.8
 85/ 60/ 6 (C),623.29,-5.92,-36.31,-0.51,7.69,2.8
 85/ 60/ 7 (C),410.69,-3.8,-23.22,-0.33,4.93,2.8
 86/ 58/ 6 (C),0,0,21.55,-2.76,0,2.775
 86/ 58/ 7 (C),0,0,14.24,-1.71,0,2.775
 86/ 59/ 6 (C),0,0,-26.05,-2.76,0,2.775
 86/ 59/ 7 (C),0,0,-17.16,-1.71,0,2.775
 87/ 25/ 6 (C),286.62,3.83,4.96,-0.51,5.53,2.8
 87/ 25/ 7 (C),194.18,2.38,3.21,-0.33,3.44,2.8
 87/ 59/ 6 (C),271.5,3.83,4.96,-0.51,-5.18,2.8
 87/ 59/ 7 (C),182.98,2.38,3.21,-0.33,-3.22,2.8
 88/ 57/ 6 (C),0,0,50.81,1.9,0,3.85
 88/ 57/ 7 (C),0,0,33.02,1.24,0,3.85
 88/ 58/ 6 (C),0,0,-30.71,1.9,0,3.85
 88/ 58/ 7 (C),0,0,-19.92,1.24,0,3.85
 89/ 24/ 6 (C),546.51,15.59,3.13,-0.51,22.05,2.8
 89/ 24/ 7 (C),361.03,9.7,2,-0.33,13.71,2.8
 89/ 58/ 6 (C),531.39,15.59,3.13,-0.51,-21.59,2.8
 89/ 58/ 7 (C),349.83,9.7,2,-0.33,-13.46,2.8
 90/ 56/ 6 (C),0,0,-0.68,1.32,0,3.7
 90/ 56/ 7 (C),0,0,-0.63,0.89,0,3.7
 90/ 57/ 6 (C),0,0,-76.99,1.32,0,3.7
 90/ 57/ 7 (C),0,0,-50.28,0.89,0,3.7
 91/ 23/ 6 (C),763.07,10.53,-3.71,-0.51,15.03,2.8
 91/ 23/ 7 (C),501.99,6.46,-2.38,-0.33,9.21,2.8
