elemConnectivity1,elemConnectivity2,elemConnectivity3,elemConnectivity4,elemConnectivity5,elemConnectivity6
216,Col1,123   156   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
217,Beam2,154   155   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
218,Col1,122   155   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
219,Col1,121   154   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
220,Beam2,152   153   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
221,Beam2,145   153   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
222,Col1,120   153   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
223,Beam2,151   152   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
224,Beam2,143   152   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
225,Col2,119   152   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
226,Beam2,150   151   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
227,Beam5,142   151   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
228,Beam4,149   150   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
229,Col1,117   150   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
230,Beam2,148   149   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
231,Col5,116   149   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
232,Beam2,147   148   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
233,Beam2,139   148   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
234,Beam2,146   147   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
235,Beam2,134   147   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
236,Col4,114   147   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
237,Beam2,133   146   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
238,Col1,113   146   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
239,Beam2,144   145   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
240,Beam2,138   145   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
241,Col1,112   145   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
242,Beam2,143   144   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
243,Beam2,137   144   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
244,Col3,111   144   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
245,Beam2,142   143   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
246,Beam5,140   142   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
247,Beam5,140   141   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
248,Beam5,136   141   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
249,Col5,108   141   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
250,Beam5,139   140   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
251,Beam4,135   139   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
252,Col1,106   139   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
253,Beam5,137   138   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
254,Beam2,132   138   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
255,Col1,105   138   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
256,Beam5,136   137   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
257,Beam5,130   136   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
258,Beam2,134   135   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
259,Beam4,128   135   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
260,Beam2,133   134   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
261,Col2,101   134   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
262,Beam2,126   133   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
263,Col1,100   133   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
264,Col1,99   132   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
265,Beam2,131   132   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
