"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 16/ 88/ 6,0.00,0.00,30.24,-16.14,0.00,3.725"
" 16/ 88/ 7,0.00,0.00,19.06,-10.13,0.00,3.725"
" 16/ 93/ 1,0.00,0.00,-13.28,-8.31,-0.00,3.725"
" 16/ 93/ 2,0.00,0.00,-6.26,-4.04,-0.00,3.725"
" 16/ 93/ 3,-0.00,-0.00,-3.61,-2.38,0.00,3.725"
" 16/ 93/ 4,0.00,0.00,0.02,0.04,-0.00,3.725"
" 16/ 93/ 6,0.00,0.00,-32.78,-20.87,-0.00,3.725"
" 16/ 93/ 7,0.00,0.00,-20.65,-13.08,-0.00,3.725"
" 17/ 60/ 1,148.96,-1.67,-8.68,12.00,-2.36,2.800"
" 17/ 60/ 2,69.01,-0.86,-4.80,6.64,-1.21,2.800"
" 17/ 60/ 3,27.02,-0.52,-2.56,3.57,-0.73,2.800"
" 17/ 60/ 4,6.21,0.01,-0.09,0.12,0.02,2.800"
" 17/ 60/ 6,354.54,-4.33,-22.78,31.78,-6.15,2.800"
" 17/ 60/ 7,227.97,-2.70,-14.23,19.79,-3.81,2.800"
" 17/ 93/ 1,144.58,-1.67,-8.68,-12.30,2.33,2.800"
" 17/ 93/ 2,69.01,-0.86,-4.80,-6.78,1.20,2.800"
" 17/ 93/ 3,27.02,-0.52,-2.56,-3.60,0.72,2.800"
" 17/ 93/ 4,6.21,0.01,-0.09,-0.14,-0.02,2.800"
" 17/ 93/ 6,348.63,-4.33,-22.78,-32.47,6.08,2.800"
" 17/ 93/ 7,223.60,-2.70,-14.23,-20.24,3.77,2.800"
" 18/ 91/ 1,0.00,0.00,8.27,-3.99,0.00,2.775"
" 18/ 91/ 2,0.00,0.00,3.52,-1.79,0.00,2.775"
" 18/ 91/ 3,0.00,-0.00,2.17,-1.28,-0.00,2.775"
" 18/ 91/ 4,0.00,0.00,-0.08,0.13,0.00,2.775"
" 18/ 91/ 6,0.00,-0.00,19.70,-9.94,-0.00,2.775"
" 18/ 91/ 7,0.00,-0.00,12.46,-6.18,-0.00,2.775"
" 18/ 92/ 1,0.00,0.00,-7.42,-2.81,-0.00,2.775"
" 18/ 92/ 2,0.00,0.00,-3.22,-1.39,-0.00,2.775"
" 18/ 92/ 3,0.00,-0.00,-1.68,-0.60,0.00,2.775"
" 18/ 92/ 4,0.00,0.00,-0.08,-0.10,-0.00,2.775"
" 18/ 92/ 6,0.00,-0.00,-17.38,-6.73,0.00,2.775"
" 18/ 92/ 7,0.00,-0.00,-11.13,-4.33,0.00,2.775"
" 19/ 59/ 1,64.78,1.02,1.43,-2.00,1.35,2.800"
" 19/ 59/ 2,23.45,0.61,0.73,-1.01,0.81,2.800"
" 19/ 59/ 3,9.10,0.39,0.34,-0.48,0.53,2.800"
" 19/ 59/ 4,2.15,-0.02,0.04,-0.05,-0.03,2.800"
" 19/ 59/ 6,138.73,2.71,3.55,-4.92,3.40,2.800"
" 19/ 59/ 7,91.29,1.69,2.26,-3.14,2.15,2.800"
" 19/ 92/ 1,60.41,1.02,1.43,2.01,-1.52,2.800"
" 19/ 92/ 2,23.45,0.61,0.73,1.03,-0.89,2.800"
" 19/ 92/ 3,9.10,0.39,0.34,0.48,-0.55,2.800"
" 19/ 92/ 4,2.15,-0.02,0.04,0.05,0.02,2.800"
" 19/ 92/ 6,132.82,2.71,3.55,4.95,-3.76,2.800"
" 19/ 92/ 7,86.92,1.69,2.26,3.16,-2.40,2.800"
" 20/ 90/ 1,-0.00,0.00,16.46,-17.49,0.00,3.850"
" 20/ 90/ 2,-0.00,0.00,7.97,-8.80,0.00,3.850"
" 20/ 90/ 3,-0.00,-0.00,4.41,-4.65,-0.00,3.850"
" 20/ 90/ 4,-0.00,0.00,0.07,-0.19,0.00,3.850"
" 20/ 90/ 6,-0.00,-0.00,40.99,-44.28,-0.00,3.850"
" 20/ 90/ 7,-0.00,-0.00,25.81,-27.83,-0.00,3.850"
" 20/ 91/ 1,-0.00,0.00,-10.47,-5.98,-0.00,3.850"
" 20/ 91/ 2,-0.00,0.00,-4.98,-3.06,-0.00,3.850"
" 20/ 91/ 3,-0.00,-0.00,-2.99,-1.92,0.00,3.850"
" 20/ 91/ 4,-0.00,0.00,0.07,0.09,-0.00,3.850"
" 20/ 91/ 6,-0.00,-0.00,-25.91,-15.26,0.00,3.850"
" 20/ 91/ 7,-0.00,-0.00,-16.30,-9.53,0.00,3.850"
" 21/ 58/ 1,137.71,4.53,-0.05,0.20,6.28,2.800"
" 21/ 58/ 2,64.46,2.73,0.04,0.01,3.79,2.800"
" 21/ 58/ 3,24.21,1.56,0.01,0.02,2.18,2.800"
" 21/ 58/ 4,6.31,0.00,0.01,-0.01,-0.01,2.800"
" 21/ 58/ 6,328.02,12.62,-0.05,0.48,17.10,2.800"
" 21/ 58/ 7,211.18,7.75,-0.03,0.28,10.59,2.800"
" 21/ 91/ 1,133.34,4.53,-0.05,0.06,-6.40,2.800"
" 21/ 91/ 2,64.46,2.73,0.04,0.13,-3.87,2.800"
