"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 51/ 51/ 6,581.10,39.34,2.20,-2.49,55.92,2.80"
" 51/ 51/ 7,380.79,24.38,1.47,-1.64,34.77,2.80"
" 51/ 67/ 6,565.98,39.34,2.20,3.68,-54.22,2.80"
" 51/ 67/ 7,369.59,24.38,1.47,2.47,-33.51,2.80"
" 52/ 52/ 6,315.08,22.64,32.49,-46.77,32.32,2.80"
" 52/ 52/ 7,208.96,14.28,20.37,-29.45,20.45,2.80"
" 52/ 68/ 6,299.96,22.64,32.49,44.20,-31.07,2.80"
" 52/ 68/ 7,197.76,14.28,20.37,27.57,-19.53,2.80"
" 53/ 53/ 6,553.84,3.98,-55.92,80.05,5.17,2.80"
" 53/ 53/ 7,362.82,2.55,-34.48,49.57,3.29,2.80"
" 53/ 69/ 6,538.72,3.98,-55.92,-76.52,-5.96,2.80"
" 53/ 69/ 7,351.62,2.55,-34.48,-46.97,-3.85,2.80"
" 54/ 54/ 6,1023.06,7.35,-3.82,4.50,9.68,2.80"
" 54/ 54/ 7,662.59,4.67,-2.52,2.93,6.11,2.80"
" 54/ 70/ 6,1007.94,7.35,-3.82,-6.19,-10.90,2.80"
" 54/ 70/ 7,651.39,4.67,-2.52,-4.12,-6.96,2.80"
" 55/ 55/ 6,1023.06,7.35,3.82,-4.50,9.68,2.80"
" 55/ 55/ 7,662.59,4.67,2.52,-2.93,6.11,2.80"
" 55/ 71/ 6,1007.94,7.35,3.82,6.19,-10.90,2.80"
" 55/ 71/ 7,651.39,4.67,2.52,4.12,-6.96,2.80"
" 56/ 56/ 6,553.84,3.98,55.92,-80.05,5.17,2.80"
" 56/ 56/ 7,362.82,2.55,34.48,-49.57,3.29,2.80"
" 56/ 72/ 6,538.72,3.98,55.92,76.52,-5.96,2.80"
" 56/ 72/ 7,351.62,2.55,34.48,46.97,-3.85,2.80"
" 57/ 57/ 6,553.84,-3.98,-55.92,80.05,-5.17,2.80"
" 57/ 57/ 7,362.82,-2.55,-34.48,49.57,-3.29,2.80"
" 57/ 73/ 6,538.72,-3.98,-55.92,-76.52,5.96,2.80"
" 57/ 73/ 7,351.62,-2.55,-34.48,-46.97,3.85,2.80"
" 58/ 58/ 6,1023.06,-7.35,-3.82,4.50,-9.68,2.80"
" 58/ 58/ 7,662.59,-4.67,-2.52,2.93,-6.11,2.80"
" 58/ 74/ 6,1007.94,-7.35,-3.82,-6.19,10.90,2.80"
" 58/ 74/ 7,651.39,-4.67,-2.52,-4.12,6.96,2.80"
" 59/ 59/ 6,1023.06,-7.35,3.82,-4.50,-9.68,2.80"
" 59/ 59/ 7,662.59,-4.67,2.52,-2.93,-6.11,2.80"
" 59/ 75/ 6,1007.94,-7.35,3.82,6.19,10.90,2.80"
" 59/ 75/ 7,651.39,-4.67,2.52,4.12,6.96,2.80"
" 60/ 60/ 6,553.84,-3.98,55.92,-80.05,-5.17,2.80"
" 60/ 60/ 7,362.82,-2.55,34.48,-49.57,-3.29,2.80"
" 60/ 76/ 6,538.72,-3.98,55.92,76.52,5.96,2.80"
" 60/ 76/ 7,351.62,-2.55,34.48,46.97,3.85,2.80"
" 61/ 61/ 6,315.08,-22.64,-32.49,46.77,-32.32,2.80"
" 61/ 61/ 7,208.96,-14.28,-20.37,29.45,-20.45,2.80"
" 61/ 77/ 6,299.96,-22.64,-32.49,-44.20,31.07,2.80"
" 61/ 77/ 7,197.76,-14.28,-20.37,-27.57,19.53,2.80"
" 62/ 62/ 6,581.10,-39.34,-2.20,2.49,-55.92,2.80"
" 62/ 62/ 7,380.79,-24.38,-1.47,1.64,-34.77,2.80"
" 62/ 78/ 6,565.98,-39.34,-2.20,-3.68,54.22,2.80"
" 62/ 78/ 7,369.59,-24.38,-1.47,-2.47,33.51,2.80"
" 63/ 63/ 6,581.10,-39.34,2.20,-2.49,-55.92,2.80"
" 63/ 63/ 7,380.79,-24.38,1.47,-1.64,-34.77,2.80"
" 63/ 79/ 6,565.98,-39.34,2.20,3.68,54.22,2.80"
" 63/ 79/ 7,369.59,-24.38,1.47,2.47,33.51,2.80"
" 64/ 64/ 6,315.08,-22.64,32.49,-46.77,-32.32,2.80"
" 64/ 64/ 7,208.96,-14.28,20.37,-29.45,-20.45,2.80"
" 64/ 80/ 6,299.96,-22.64,32.49,44.20,31.07,2.80"
" 64/ 80/ 7,197.76,-14.28,20.37,27.57,19.53,2.80"
" 65/ 65/ 6,146.75,31.54,-45.84,56.67,39.38,2.80"
" 65/ 65/ 7,99.68,20.56,-29.95,36.53,25.40,2.80"
" 65/ 81/ 6,131.63,31.54,-45.84,-71.69,-48.92,2.80"
" 65/ 81/ 7,88.48,20.56,-29.95,-47.34,-32.17,2.80"
" 66/ 66/ 6,277.96,53.37,-0.99,2.54,67.35,2.80"
" 66/ 66/ 7,187.25,34.29,-0.49,1.56,42.76,2.80"
" 66/ 82/ 6,262.84,53.37,-0.99,-0.22,-82.10,2.80"
" 66/ 82/ 7,176.05,34.29,-0.49,0.18,-53.26,2.80"
" 67/ 67/ 6,277.96,53.37,0.99,-2.54,67.35,2.80"
" 67/ 67/ 7,187.25,34.29,0.49,-1.56,42.76,2.80"
" 67/ 83/ 6,262.84,53.37,0.99,0.22,-82.10,2.80"
" 67/ 83/ 7,176.05,34.29,0.49,-0.18,-53.26,2.80"
" 68/ 68/ 6,146.75,31.54,45.84,-56.67,39.38,2.80"
" 68/ 68/ 7,99.68,20.56,29.95,-36.53,25.40,2.80"
" 68/ 84/ 6,131.63,31.54,45.84,71.69,-48.92,2.80"
" 68/ 84/ 7,88.48,20.56,29.95,47.34,-32.17,2.80"
" 69/ 69/ 6,264.26,4.24,-76.12,95.41,6.22,2.80"
" 69/ 69/ 7,178.09,2.60,-49.07,60.60,3.90,2.80"
" 69/ 85/ 6,249.14,4.24,-76.12,-117.74,-5.67,2.80"
" 69/ 85/ 7,166.89,2.60,-49.07,-76.79,-3.39,2.80"
" 70/ 70/ 6,496.95,8.31,-2.44,4.91,11.81,2.80"
" 70/ 70/ 7,332.44,5.08,-1.33,3.01,7.35,2.80"
" 70/ 86/ 6,481.83,8.31,-2.44,-1.93,-11.46,2.80"
" 70/ 86/ 7,321.24,5.08,-1.33,-0.72,-6.88,2.80"
" 71/ 71/ 6,496.95,8.31,2.44,-4.91,11.81,2.80"
" 71/ 71/ 7,332.44,5.08,1.33,-3.01,7.35,2.80"
