Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 115/ 63/ 6,0,0,-85.32,-100.54,0,6
 116/ 63/ 6,0,0,86.45,-97.02,0,6
 116/ 64/ 6,0,0,-84.19,-90.24,0,6
 117/ 65/ 6,0,0,85.9,-97.1,0,6
 117/ 66/ 6,0,0,-84.74,-93.6,0,6
 118/ 66/ 6,0,0,85.32,-99.46,0,6
 118/ 67/ 6,0,0,-85.32,-99.46,0,6
 119/ 67/ 6,0,0,84.74,-93.6,0,6
 119/ 68/ 6,0,0,-85.9,-97.1,0,6
 120/ 69/ 6,0,0,151.71,-175.7,0,6
 120/ 70/ 6,0,0,-149.07,-167.76,0,6
 121/ 70/ 6,0,0,150.39,-179.22,0,6
 121/ 71/ 6,0,0,-150.39,-179.22,0,6
 122/ 71/ 6,0,0,149.07,-167.76,0,6
 122/ 72/ 6,0,0,-151.71,-175.7,0,6
 123/ 73/ 6,0,0,151.71,-175.7,0,6
 123/ 74/ 6,0,0,-149.07,-167.76,0,6
 124/ 74/ 6,0,0,150.39,-179.22,0,6
 124/ 75/ 6,0,0,-150.39,-179.22,0,6
 125/ 75/ 6,0,0,149.07,-167.76,0,6
 125/ 76/ 6,0,0,-151.71,-175.7,0,6
 126/ 77/ 6,0,0,85.9,-97.1,0,6
 126/ 78/ 6,0,0,-84.74,-93.6,0,6
 127/ 78/ 6,0,0,85.32,-99.46,0,6
 127/ 79/ 6,0,0,-85.32,-99.46,0,6
 128/ 79/ 6,0,0,84.74,-93.6,0,6
 128/ 80/ 6,0,0,-85.9,-97.1,0,6
 129/ 81/ 6,0,0,74.08,-65.26,0,6
 129/ 82/ 6,0,0,-83.44,-93.34,0,6
 130/ 82/ 6,0,0,78.76,-93.44,0,6
 130/ 83/ 6,0,0,-78.76,-93.44,0,6
 131/ 83/ 6,0,0,83.44,-93.34,0,6
 131/ 84/ 6,0,0,-74.08,-65.26,0,6
 132/ 85/ 6,0,0,130.69,-124.16,0,6
 132/ 86/ 6,0,0,-143.84,-163.61,0,6
 133/ 86/ 6,0,0,137.26,-165.67,0,6
 133/ 87/ 6,0,0,-137.26,-165.67,0,6
 134/ 87/ 6,0,0,143.84,-163.61,0,6
 134/ 88/ 6,0,0,-130.69,-124.16,0,6
 135/ 89/ 6,0,0,130.69,-124.16,0,6
