"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 7/ 7/ 24 (C),1575.04,-102.28,87.32,-248.49,-252.85,3.30"
" 7/ 7/ 25 (C),1500.15,89.63,-81.15,229.42,224.19,3.30"
" 7/ 7/ 26 (C),1521.09,89.62,87.32,-248.49,224.18,3.30"
" 7/ 7/ 27 (C),1554.10,-102.28,-81.15,229.41,-252.84,3.30"
" 7/ 7/ 28 (C),1571.68,-91.01,79.51,-227.61,-225.71,3.30"
" 7/ 7/ 29 (C),1496.79,100.90,-88.97,250.31,251.33,3.30"
" 7/ 7/ 30 (C),1517.73,100.90,79.50,-227.60,251.33,3.30"
" 7/ 7/ 31 (C),1550.74,-91.00,-88.97,250.30,-225.70,3.30"
" 7/ 7/ 32 (C),1557.26,-55.03,49.79,-142.31,-135.59,3.30"
" 7/ 7/ 33 (C),1516.41,47.45,-47.14,132.65,119.15,3.30"
" 7/ 7/ 34 (C),1528.45,47.45,49.79,-142.31,119.15,3.30"
" 7/ 7/ 35 (C),1545.22,-55.03,-47.14,132.64,-135.59,3.30"
" 7/ 7/ 36 (C),1555.42,-48.83,45.49,-130.83,-120.67,3.30"
" 7/ 7/ 37 (C),1514.56,53.65,-51.44,144.13,134.08,3.30"
" 7/ 7/ 38 (C),1526.61,53.65,45.49,-130.83,134.07,3.30"
" 7/ 7/ 39 (C),1543.37,-48.83,-51.44,144.12,-120.66,3.30"
" 7/ 7/ 40 (C),1526.57,-0.69,-0.82,0.91,-0.76,3.30"
" 7/ 23/ 22 (C),1551.94,-0.70,-0.85,-1.87,1.55,3.30"
" 7/ 23/ 23 (C),2473.73,-1.09,-1.40,-3.07,2.39,3.30"
" 7/ 23/ 24 (C),1554.80,-102.28,87.32,39.68,84.69,3.30"
" 7/ 23/ 25 (C),1479.91,89.63,-81.15,-38.39,-71.59,3.30"
" 7/ 23/ 26 (C),1500.85,89.62,87.32,39.66,-71.57,3.30"
" 7/ 23/ 27 (C),1533.86,-102.28,-81.15,-38.37,84.67,3.30"
