"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 7/ 23/ 29 (C),1644.84,225.14,-270.69,-319.55,-272.65,2.80"
" 7/ 23/ 30 (C),1502.59,225.14,250.39,293.35,-272.65,2.80"
" 7/ 23/ 31 (C),1794.42,-205.14,-270.69,-319.55,249.34,2.80"
" 7/ 23/ 32 (C),1652.35,-104.55,122.06,142.47,127.31,2.80"
" 7/ 23/ 33 (C),1648.98,93.22,-117.45,-139.24,-112.61,2.80"
" 7/ 23/ 34 (C),1583.59,93.22,122.06,142.47,-112.61,2.80"
" 7/ 23/ 35 (C),1717.73,-104.55,-117.45,-139.24,127.31,2.80"
" 7/ 23/ 36 (C),1650.99,-94.69,114.21,133.20,115.35,2.80"
" 7/ 23/ 37 (C),1647.62,103.09,-125.29,-148.51,-124.58,2.80"
" 7/ 23/ 38 (C),1582.24,103.09,114.21,133.20,-124.58,2.80"
" 7/ 23/ 39 (C),1716.37,-94.69,-125.29,-148.51,115.35,2.80"
" 8/ 8/ 22 (C),907.69,-0.53,18.66,-17.42,-0.49,2.80"
" 8/ 8/ 23 (C),1408.90,-0.83,30.06,-28.05,-0.77,2.80"
" 8/ 8/ 24 (C),1450.60,-248.09,225.85,-396.54,-393.19,2.80"
" 8/ 8/ 25 (C),379.41,182.19,-176.30,338.60,289.61,2.80"
" 8/ 8/ 26 (C),1301.02,182.19,225.85,-396.54,289.61,2.80"
" 8/ 8/ 27 (C),528.99,-248.09,-176.30,338.60,-393.19,2.80"
" 8/ 8/ 28 (C),1400.64,-183.22,212.56,-372.44,-290.56,2.80"
" 8/ 8/ 29 (C),329.44,247.06,-189.60,362.70,392.23,2.80"
" 8/ 8/ 30 (C),1251.05,247.06,212.56,-372.44,392.23,2.80"
" 8/ 8/ 31 (C),479.03,-183.22,-189.60,362.70,-290.56,2.80"
" 8/ 8/ 32 (C),1147.68,-114.31,113.60,-191.40,-180.98,2.80"
" 8/ 8/ 33 (C),655.33,83.47,-71.24,146.49,132.85,2.80"
" 8/ 8/ 34 (C),1078.93,83.47,113.60,-191.40,132.85,2.80"
" 8/ 8/ 35 (C),724.08,-114.31,-71.24,146.49,-180.98,2.80"
" 8/ 8/ 36 (C),1124.71,-84.49,107.49,-180.33,-133.81,2.80"
" 8/ 8/ 37 (C),632.36,113.28,-77.35,157.56,180.02,2.80"
" 8/ 8/ 38 (C),1055.96,113.28,107.49,-180.33,180.02,2.80"
" 8/ 8/ 39 (C),701.12,-84.49,-77.35,157.56,-133.81,2.80"
" 8/ 24/ 22 (C),896.70,-0.53,18.66,34.84,0.98,2.80"
" 8/ 24/ 23 (C),1394.06,-0.83,30.06,56.10,1.54,2.80"
" 8/ 24/ 24 (C),1439.61,-248.09,225.85,235.85,301.46,2.80"
" 8/ 24/ 25 (C),368.42,182.19,-176.30,-155.04,-220.54,2.80"
" 8/ 24/ 26 (C),1290.03,182.19,225.85,235.85,-220.54,2.80"
" 8/ 24/ 27 (C),518.00,-248.09,-176.30,-155.04,301.46,2.80"
" 8/ 24/ 28 (C),1389.65,-183.22,212.56,222.72,222.45,2.80"
" 8/ 24/ 29 (C),318.45,247.06,-189.60,-168.17,-299.54,2.80"
" 8/ 24/ 30 (C),1240.06,247.06,212.56,222.72,-299.54,2.80"
" 8/ 24/ 31 (C),468.04,-183.22,-189.60,-168.17,222.45,2.80"
" 8/ 24/ 32 (C),1136.69,-114.31,113.60,126.69,139.07,2.80"
" 8/ 24/ 33 (C),644.34,83.47,-71.24,-52.98,-100.85,2.80"
" 8/ 24/ 34 (C),1067.94,83.47,113.60,126.69,-100.85,2.80"
" 8/ 24/ 35 (C),713.09,-114.31,-71.24,-52.98,139.07,2.80"
" 8/ 24/ 36 (C),1113.72,-84.49,107.49,120.65,102.76,2.80"
" 8/ 24/ 37 (C),621.37,113.28,-77.35,-59.01,-137.16,2.80"
" 8/ 24/ 38 (C),1044.97,113.28,107.49,120.65,-137.16,2.80"
" 8/ 24/ 39 (C),690.13,-84.49,-77.35,-59.01,102.76,2.80"
" 9/ 9/ 22 (C),907.69,0.53,-18.66,17.42,0.49,2.80"
" 9/ 9/ 23 (C),1408.90,0.83,-30.06,28.05,0.77,2.80"
" 9/ 9/ 24 (C),379.41,-182.19,176.30,-338.60,-289.61,2.80"
" 9/ 9/ 25 (C),1450.60,248.09,-225.85,396.54,393.19,2.80"
" 9/ 9/ 26 (C),528.99,248.09,176.30,-338.60,393.19,2.80"
" 9/ 9/ 27 (C),1301.02,-182.19,-225.85,396.54,-289.61,2.80"
" 9/ 9/ 28 (C),329.44,-247.06,189.60,-362.70,-392.23,2.80"
" 9/ 9/ 29 (C),1400.64,183.22,-212.56,372.44,290.56,2.80"
" 9/ 9/ 30 (C),479.03,183.22,189.60,-362.70,290.56,2.80"
" 9/ 9/ 31 (C),1251.05,-247.06,-212.56,372.44,-392.23,2.80"
" 9/ 9/ 32 (C),655.33,-83.47,71.24,-146.49,-132.85,2.80"
" 9/ 9/ 33 (C),1147.68,114.31,-113.60,191.40,180.98,2.80"
" 9/ 9/ 34 (C),724.08,114.31,71.24,-146.49,180.98,2.80"
" 9/ 9/ 35 (C),1078.93,-83.47,-113.60,191.40,-132.85,2.80"
" 9/ 9/ 36 (C),632.36,-113.28,77.35,-157.56,-180.02,2.80"
" 9/ 9/ 37 (C),1124.71,84.49,-107.49,180.33,133.81,2.80"
" 9/ 9/ 38 (C),701.12,84.49,77.35,-157.56,133.81,2.80"
" 9/ 9/ 39 (C),1055.96,-113.28,-107.49,180.33,-180.02,2.80"
" 9/ 25/ 22 (C),896.70,0.53,-18.66,-34.84,-0.98,2.80"
" 9/ 25/ 23 (C),1394.06,0.83,-30.06,-56.10,-1.54,2.80"
" 9/ 25/ 24 (C),368.42,-182.19,176.30,155.04,220.54,2.80"
" 9/ 25/ 25 (C),1439.61,248.09,-225.85,-235.85,-301.46,2.80"
" 9/ 25/ 26 (C),518.00,248.09,176.30,155.04,-301.46,2.80"
" 9/ 25/ 27 (C),1290.03,-182.19,-225.85,-235.85,220.54,2.80"
" 9/ 25/ 28 (C),318.45,-247.06,189.60,168.17,299.54,2.80"
" 9/ 25/ 29 (C),1389.65,183.22,-212.56,-222.72,-222.45,2.80"
" 9/ 25/ 30 (C),468.04,183.22,189.60,168.17,-222.45,2.80"
" 9/ 25/ 31 (C),1240.06,-247.06,-212.56,-222.72,299.54,2.80"
" 9/ 25/ 32 (C),644.34,-83.47,71.24,52.98,100.85,2.80"
" 9/ 25/ 33 (C),1136.69,114.31,-113.60,-126.69,-139.07,2.80"
" 9/ 25/ 34 (C),713.09,114.31,71.24,52.98,-139.07,2.80"
" 9/ 25/ 35 (C),1067.94,-83.47,-113.60,-126.69,100.85,2.80"
" 9/ 25/ 36 (C),621.37,-113.28,77.35,59.01,137.16,2.80"
